"date","NYT_dailySD","CD_dailySD","CNBC_dailySD","NYT_MSS","CD_MSS","CNBC_MSS","NYT_length","CD_length","CNBC_length","n_NYT_articles","n_CD_articles","n_CNBC_articles"
2013-05-16,NA,0.81336778857117,NA,NA,1.14434600226274,NA,NA,4231,NA,0,0,7
2013-05-16,NA,0.81336778857117,NA,NA,-0.860427870831967,NA,NA,2185,NA,0,0,7
2013-05-16,NA,0.81336778857117,NA,NA,0.106680008009806,NA,NA,4275,NA,0,0,7
2013-05-16,NA,0.81336778857117,NA,NA,-0.116548573174768,NA,NA,3785,NA,0,0,7
2013-05-16,NA,0.81336778857117,NA,NA,1.02121292026444,NA,NA,5748,NA,0,0,7
2013-05-16,NA,0.81336778857117,NA,NA,-0.889726917805785,NA,NA,1808,NA,0,0,7
2013-05-17,NA,0.716722529601972,NA,NA,1.59355888651712,NA,NA,9237,NA,0,0,7
2013-05-17,NA,0.716722529601972,NA,NA,0.234665586734326,NA,NA,6022,NA,0,0,7
2013-05-17,NA,0.716722529601972,NA,NA,-0.468237770378327,NA,NA,4091,NA,0,0,7
2013-05-17,NA,0.716722529601972,NA,NA,-0.207520168456776,NA,NA,2938,NA,0,0,7
2013-05-17,NA,0.716722529601972,NA,NA,-0.322847738843692,NA,NA,2758,NA,0,0,7
2013-05-17,NA,0.716722529601972,NA,NA,-0.0101745315588476,NA,NA,2179,NA,0,0,7
2013-05-17,NA,0.716722529601972,NA,NA,-0.384711311954804,NA,NA,4653,NA,0,0,7
2013-05-18,NA,1.51902664950556,NA,NA,-0.855505921440102,NA,NA,3038,NA,0,0,3
2013-05-18,NA,1.51902664950556,NA,NA,1.35711566300851,NA,NA,8163,NA,0,0,3
2013-05-18,NA,1.51902664950556,NA,NA,2.05373448082124,NA,NA,6423,NA,0,0,3
2013-05-19,NA,0.639802185145928,NA,NA,0.190379814836586,NA,NA,5302,NA,0,0,4
2013-05-19,NA,0.639802185145928,NA,NA,-0.0516672871412236,NA,NA,3379,NA,0,0,4
2013-05-19,NA,0.639802185145928,NA,NA,0.0999330827008954,NA,NA,4434,NA,0,0,4
2013-05-19,NA,0.639802185145928,NA,NA,1.34347037720774,NA,NA,9572,NA,0,0,4
2013-05-20,NA,1.04481423794756,NA,NA,-1.57528264993665,0.801747067864038,NA,2295,6276,0,1,9
2013-05-20,NA,1.04481423794756,NA,NA,0.659707005549257,NA,NA,5633,6276,0,1,9
2013-05-20,NA,1.04481423794756,NA,NA,1.18174046345938,NA,NA,5473,6276,0,1,9
2013-05-20,NA,1.04481423794756,NA,NA,-0.378083890194992,NA,NA,2989,6276,0,1,9
2013-05-20,NA,1.04481423794756,NA,NA,0.323633929132717,NA,NA,4560,6276,0,1,9
